standard,price
rice,2000
jowar,860
bajra,761
maize,700
ragi,600
wheat,1225
barley,1030
gram,1901
tur,2000
groundnut,2125
mustard,2100
soyabean,1974
sunflower,1500
cotton,2525
jute,1000
mesta,1500
sugarcane,586
